DIRECTOR_ID,NAME,IS_UP_TO_DATE
1,James Donovan,1
2,Matthew Wu,1
3,Connie Hines MD,1
4,Kathleen Zimmerman,1
5,Craig Jones,1
6,Sandra Cook,1
7,Dennis Thompson,1
8,Richard Jones,1
9,Julie Jordan,1
10,Mark Kemp,1
11,Kevin Huffman,1
12,Curtis Garcia,1
13,Janice Vargas,1
14,Thomas Hoffman,1
15,Lisa Williamson,1
16,David Small,1
17,Meagan Anderson,1
18,Anna Boyd,1
19,Lee Aguilar,1
20,Taylor Sexton,1
21,Ryan Flores,1
22,Jamie Becker,1
23,Mathew Brennan,1
24,Sydney Schultz,1
25,Patrick Gamble,1
26,Ryan Flynn,1
27,Kimberly Carey,1
28,James Ross,1
29,Mrs. Alexis Suarez,1
30,Eric Curtis,1
31,Philip Bright,1
32,Danielle Khan,1
33,Nicole Solomon,1
34,Joshua Sampson,1
35,Colleen Johnson,1
36,Gary Martin,1
37,John Guerrero,1
38,Peter Spencer,1
39,Ivan Moreno,1
40,Christopher Rodriguez,1
41,Ryan Brown,1
42,Jill Shelton,1
43,Ricardo Carter,1
44,William Vasquez,1
45,Daniel Rodriguez,1
46,Tina Camacho,1
47,Brian Hernandez,1
48,Tiffany Martinez,1
49,Catherine Morrison,1
50,Kent Guzman,1
51,Brenda Smith,1
52,Gabrielle Soto,1
53,Stephanie Garcia,1
54,Megan Holt,1
55,Audrey Hodge,1
56,Brian Sullivan,1
57,Cindy Mendoza,1
58,Cassandra Williams MD,1
59,Christopher Thompson,1
60,Tamara Rivera,1
61,Amanda Vance,1
62,Crystal Anderson,1
63,Jeffrey Hill,1
64,Peter Clark,1
65,Bryan Lopez,1
66,Kelly Berry,1
67,Thomas Lewis,1
68,Ann Reed,1
69,Lisa Rodriguez,1
70,Jesus Ramirez,1
71,Lindsay Harvey,1
72,Joseph Garcia,1
73,Jordan Harris,1
74,Caitlin Powell,1
75,Amy Gilbert,1
76,Nancy Davis,1
77,Jessica Anderson,1
78,Dr. Brent Bauer,1
79,Joy Hobbs,1
