user_id,user_code,source,name,age_group,gender,signup_date,subscription_status,country,district,city,postal_code,street_address,is_up_to_date
1,USER_00000000001,postgresql1,Updated Name A,15-19,Female,2024-06-01,Cancelled,Italy,Porto,Porto,4000-123,"Av. da Liberdade, 100",0
2,USER_00000000001,postgresql2,Updated Name B,15-19,Female,2024-06-02,Cancelled,Italy,Porto,Porto,4000-123,"Av. da Liberdade, 105",0
3,USER_00000000002,postgresql1,Stephanie Gray,10-14,Female,2025-03-17,Active,Venezuela,North Dakota,Hansenside,95321,593 William Mills,1
4,USER_00000000002,postgresql2,Rebecca Herman,15-19,Female,2022-02-18,Cancelled,Italy,Connecticut,East Brian,87963,61995 Rodriguez Fort,1
5,USER_00000000003,postgresql1,Casey Payne,45-54,Female,2023-12-04,Expired,Netherlands,Iowa,Krystalton,09815,7041 Wright Manors Apt. 121,1
6,USER_00000000003,postgresql2,Michael Baxter,25-34,Other,2022-04-20,Active,Spain,Hawaii,Michaelton,51991,997 Patrick Mews Apt. 015,1
7,USER_00000000004,postgresql1,Cynthia Berry,20-24,Male,2023-05-30,Expired,Venezuela,Kentucky,South Katherinemouth,51614,469 Rivera Lake,1
8,USER_00000000004,postgresql2,Kristin Williams,25-34,Other,2021-07-01,Expired,Italy,Virginia,New Jefferyfort,22901,2298 Davis Station,1
9,USER_00000000005,postgresql1,Kim Ferguson,20-24,Female,2021-11-27,Cancelled,United Kingdom,New Mexico,South Michael,10160,86927 Smith Street Apt. 355,1
10,USER_00000000005,postgresql2,Keith Howard,65+,Male,2020-06-13,Active,United Kingdom,Florida,Matthewberg,20813,398 Henderson Islands,1
11,USER_00000000006,postgresql1,Gina Alvarez,20-24,Other,2022-12-05,Active,Italy,Nevada,Terriborough,43438,462 Donna Fork,1
12,USER_00000000006,postgresql2,Daniel James,45-54,Male,2020-11-13,Expired,Venezuela,Oregon,Morganton,58323,25079 Moreno Prairie Apt. 793,1
13,USER_00000000007,postgresql1,Henry Haynes,55-64,Female,2025-03-02,Expired,France,Missouri,Port Mark,58101,9702 Jennifer Courts,1
14,USER_00000000007,postgresql2,Jonathan Ford,35-44,Female,2023-10-16,Active,Venezuela,New Jersey,West Erictown,44930,00363 Alexa Locks Apt. 914,1
