USER_CODE,AGE_GROUP_ID,GENDER_ID,COUNTRY_ID,SUBSCRIPTION_STATUS_ID,NAME,EMAIL,SIGNUP_DATE,DISTRICT,CITY,POSTAL_CODE,STREET_ADDRESS
USER_00000000001,4,1,1,3,Valerie Young,darrylmccarthy@example.org,2022-07-15,Alaska,New Brianborough,49033,49401 Samuel Port
USER_00000000002,9,3,11,2,Barbara Lopez,victoria58@example.com,2023-09-14,Wyoming,North Kevinside,02456,7538 Johnson Burgs Apt. 736
USER_00000000003,6,1,4,3,Laura Wong,michael22@example.net,2024-08-05,Connecticut,Valeriebury,97872,3477 Sandra Vista
USER_00000000004,1,2,2,1,Shawn Gonzalez,david16@example.com,2024-03-22,Indiana,West Johnathanbury,17125,845 Fletcher Roads Suite 924
USER_00000000005,3,2,10,3,Lori Kelly MD,creynolds@example.org,2020-11-07,Kansas,West Michael,25270,00087 Smith Ridges
USER_00000000006,1,3,4,1,Tonya Webb,kaneedward@example.org,2025-02-25,Delaware,Amyview,85110,6361 Burke Ramp
USER_00000000007,5,1,1,1,Joseph Davenport,logan57@example.net,2022-12-14,Kansas,Hodgesstad,40774,29512 Boyd Valley Suite 309
USER_00000000008,7,2,4,3,Timothy Gallagher,david62@example.net,2023-01-11,Mississippi,West Robert,33314,44976 Brian Road Suite 878
USER_00000000009,9,3,9,3,Thomas Martin,fsutton@example.org,2021-02-20,Montana,Lake Diana,13018,40483 Hogan Lakes Apt. 498
USER_00000000010,2,3,6,3,Andrew Jennings,laura74@example.net,2025-01-10,Nebraska,Lake Kennethborough,37739,7386 Malone Fords
USER_00000000011,6,2,2,1,Jeremy Boone,simmonsjessica@example.org,2023-10-23,New Hampshire,South Christine,27421,195 Jackson Spurs Suite 812
USER_00000000012,1,3,4,2,Meghan Anderson,jacksonkatrina@example.net,2023-07-31,Oregon,North Randy,54786,9233 Joshua Passage Suite 237
USER_00000000013,3,1,3,1,Lisa Richard,thomasmoreno@example.com,2024-06-10,Nebraska,Port Kelly,91015,8961 Deleon Tunnel Suite 050
USER_00000000014,4,3,3,3,Jill Anderson,christina33@example.com,2022-12-28,Montana,West Anne,27741,708 Evans Crest
USER_00000000015,4,1,7,2,Lisa Ruiz,rvalencia@example.net,2021-12-07,Oregon,Port Paul,07245,108 Nicole Green
USER_00000000016,1,3,11,2,Brandy Richmond,williamsjonathan@example.net,2023-09-15,California,Ryantown,13872,5797 Bryan Mountains Apt. 446
USER_00000000017,4,1,11,2,Rachel Morris,thill@example.org,2022-11-17,California,West Jeffrey,11478,5931 Tran Forks Suite 494
USER_00000000018,4,3,2,1,Christina Allen,dhardin@example.org,2022-05-16,Louisiana,Fryfurt,97118,8678 Salas Mission
USER_00000000019,3,3,1,3,Jonathan York,greensean@example.org,2021-11-25,Virginia,East Marvin,08988,06192 Hunt Locks Apt. 091
USER_00000000020,2,1,10,3,Jennifer Flores,canderson@example.org,2021-03-03,Kansas,West Ryan,18087,57471 Cochran Harbor Suite 460
USER_00000000021,2,1,10,3,Richard Henry,pwatts@example.com,2023-07-23,Colorado,Davisshire,85599,37815 Thomas Cape
USER_00000000022,7,2,8,3,Crystal Castillo,erin56@example.org,2021-08-27,Oregon,Knighthaven,09734,03996 Kelly Divide Apt. 539
USER_00000000023,9,1,6,3,Gary Taylor,burnsnicole@example.org,2023-09-06,Nebraska,Mariamouth,64073,6331 Underwood Estate Apt. 240
USER_00000000024,5,3,2,2,Donna Wood,sharonhansen@example.org,2023-11-26,Pennsylvania,Jerryton,67532,5646 Crane Harbors
USER_00000000025,1,2,7,1,Jesus Gonzalez,tsloan@example.org,2022-09-06,Tennessee,Claytonside,48458,66410 Jack Falls
USER_00000000026,5,3,11,2,Richard Kim,garrett95@example.com,2022-10-14,Oklahoma,Whiteburgh,49410,2178 Rivers Street Suite 861
USER_00000000027,8,1,5,3,Stephen Campbell,johnsonashley@example.com,2025-02-12,Connecticut,West Donald,81040,738 Harrison Wells Apt. 584
USER_00000000028,4,1,6,3,Jennifer Thomas,kathleen78@example.org,2021-09-04,North Carolina,Port Tammychester,87881,35382 Angela Fork
USER_00000000029,1,1,8,3,James Davis,kjackson@example.org,2024-12-02,Colorado,Robbinsville,91473,33730 Jennifer Ports
USER_00000000030,7,3,1,1,Sandra Payne,heather61@example.org,2021-09-17,Alabama,East Veronica,34366,79947 Diana Flat Suite 659
USER_00000000031,7,2,3,1,Sharon Rivera,osmith@example.org,2022-12-14,Mississippi,New Scott,50818,86192 David Club
USER_00000000032,7,2,5,2,Amy White,justindavis@example.com,2023-05-13,Iowa,Port Courtneybury,52939,42697 Lee Court
USER_00000000033,4,2,10,3,Jordan Thompson,christopher59@example.com,2023-12-24,Minnesota,Lake Annemouth,27972,44231 Susan Well
USER_00000000034,1,1,9,1,Mr. Matthew Norman,barnesbenjamin@example.com,2025-03-02,North Carolina,North Patricia,81134,76655 Jordan Walks
USER_00000000035,3,3,8,2,Veronica Lucas,murphyjoe@example.net,2022-07-15,New Hampshire,Rickyfurt,99043,58611 Kyle Island
USER_00000000036,5,3,6,3,Austin Russell,baileymoss@example.net,2024-03-14,Kentucky,Julieport,59589,326 Christian Heights Suite 670
USER_00000000037,7,1,11,1,Mario Turner,stanleyjennifer@example.com,2023-11-26,Wisconsin,Lake Jessicabury,33693,308 Davis Fall
USER_00000000038,6,3,2,3,Joseph Watts,miguelcruz@example.org,2025-01-14,Alabama,South Royton,93753,1955 Walton Ports Apt. 947
USER_00000000039,3,3,3,1,William Wong,teresaayers@example.net,2021-10-21,West Virginia,Frazierton,31619,431 Brooks Fork
USER_00000000040,8,3,1,1,Stephanie James,maria23@example.com,2023-06-17,New Hampshire,Lake Jeffberg,17451,531 Davis Road
USER_00000000041,9,1,11,1,Gabriel Snyder,apatton@example.com,2020-12-18,Pennsylvania,Davisside,11681,96043 Michele Meadow
USER_00000000042,9,3,10,2,Amy Coleman,jstevens@example.org,2021-04-27,West Virginia,Port Colinport,65921,4137 Victoria Light Suite 036
USER_00000000043,8,1,9,2,Tammy Taylor,anngreen@example.com,2023-09-15,Washington,South Williamburgh,22697,862 Matthew Roads
USER_00000000044,9,2,1,3,Isaiah Lang,brittany74@example.org,2025-02-17,Illinois,Robertshire,24500,89901 Cheyenne Wells
USER_00000000045,7,2,10,1,Nicholas Duffy,elizabethallen@example.org,2022-07-02,Virginia,Alexandraborough,46420,01621 Kyle Landing
USER_00000000046,9,2,8,2,Randy Armstrong,collinsapril@example.net,2024-03-20,North Carolina,North Taylor,30517,73157 Kerr Tunnel Suite 945
USER_00000000047,9,1,9,1,Patricia Nunez,xosborn@example.com,2024-06-20,North Dakota,Alanside,77592,29551 Powell Plaza
USER_00000000048,1,2,10,1,Derek Camacho,nblack@example.net,2023-11-20,New Hampshire,West Frankmouth,35326,60583 Graham Stream
USER_00000000049,3,2,6,1,Robert Jenkins,joseph90@example.org,2021-07-02,Georgia,West Dominic,80658,069 Linda Club
USER_00000000050,5,2,7,3,Kevin Garcia,ahawkins@example.com,2023-10-17,New Jersey,New Wendy,87332,62880 Victor Road Suite 603
USER_00000000051,6,3,3,3,Rickey Phillips,christina82@example.net,2021-07-21,Rhode Island,Rebeccaview,91383,5956 Charles Islands Apt. 277
USER_00000000052,3,2,4,1,Laurie Callahan,ashleynelson@example.com,2020-07-11,Oregon,Lake Amandafort,11538,3440 Fitzgerald Ramp Apt. 820
USER_00000000053,5,2,2,1,David Garza,arroyocynthia@example.net,2024-06-26,Oregon,Bennettchester,98918,5167 Sampson Stravenue Suite 726
USER_00000000054,2,2,8,1,Angelica Watkins,thompsondanielle@example.com,2022-12-08,West Virginia,South Kevin,24620,047 Kathleen Knolls
USER_00000000055,3,2,2,2,Alisha Cummings,kristin54@example.org,2021-11-26,New Mexico,Perryberg,40140,541 Steven Skyway Apt. 150
USER_00000000056,4,3,4,2,Gregory Gonzales,cameron02@example.net,2023-01-21,Virginia,East Kristen,57331,27098 Sullivan Streets
USER_00000000057,8,2,6,1,Douglas Cook,patrick05@example.net,2025-02-09,North Dakota,Donnamouth,42513,45871 Boyd Turnpike
USER_00000000058,3,1,2,3,Jessica Mann,andrewedwards@example.com,2023-07-15,North Carolina,North Tina,61960,62519 Wagner Estates Suite 744
USER_00000000059,1,2,1,3,Donna Simpson,austinwells@example.com,2021-10-05,Illinois,Josephmouth,26682,0272 Ray Estates
USER_00000000060,2,2,5,3,Mary Holt,valeriekelly@example.net,2021-03-03,Minnesota,Lake Charles,69776,2658 Adrian Station
USER_00000000061,7,3,5,2,Travis Brown,jennifer69@example.com,2025-03-03,Texas,Scottview,98525,339 Matthew Walk Suite 080
USER_00000000062,5,1,4,2,Christina Perry,montgomeryangela@example.net,2020-08-22,North Carolina,Hallshire,28493,11249 Joshua Cliff
USER_00000000063,7,2,1,3,Patrick Kim,alexa02@example.org,2020-12-02,Maryland,Harrisside,07697,02819 Marsh Center Suite 479
USER_00000000064,3,3,1,3,Matthew Cunningham,christopher48@example.net,2024-07-14,Wyoming,North Brianhaven,14722,487 Megan Rest Suite 122
USER_00000000065,9,1,10,1,Jane Rice,terry85@example.net,2020-08-18,California,Brownberg,72680,9334 Allison Cape
USER_00000000066,6,2,7,1,Xavier Larsen,ashleycooper@example.net,2023-02-09,Oklahoma,Lake Jessechester,36028,92413 Wayne Keys Suite 788
USER_00000000067,5,2,11,1,Christine Hernandez,underwoodalicia@example.org,2021-07-16,South Carolina,Reynoldsmouth,26939,59697 Martin Fields Apt. 946
USER_00000000068,1,1,9,2,Crystal Stout,tracyburch@example.com,2024-12-17,Kentucky,Caseyfurt,52721,396 Gonzalez Well Apt. 212
USER_00000000069,2,1,4,3,Wanda Lee,laurasmith@example.net,2022-08-16,Maine,East Lindseyview,63877,11900 Davis Street
USER_00000000070,5,3,4,1,Melvin Johnson,colliermonica@example.com,2025-01-15,Wyoming,Melanieshire,74681,638 Shaffer Mount
USER_00000000071,1,3,5,1,Trevor Edwards,ipowell@example.com,2023-07-16,Louisiana,New Courtney,71515,38627 Donaldson Roads
USER_00000000072,5,1,5,1,Monica Cook,michaelmontgomery@example.org,2024-05-16,New Jersey,Hollowayshire,30181,202 Russell Brooks Apt. 200
USER_00000000073,8,3,7,2,Jose Collins,tiffany44@example.com,2023-09-27,Oklahoma,Ruizside,34889,810 Laura Walk
USER_00000000074,4,2,5,1,Nancy Heath,haley59@example.net,2022-09-01,California,Smithton,13685,03944 Valenzuela Causeway Suite 240
USER_00000000075,2,3,2,1,Meghan Adams,andrewkeller@example.org,2021-09-21,Tennessee,Port Douglasside,95647,20608 Cummings Spurs
USER_00000000076,2,1,5,1,Sheena Morgan,danielle33@example.net,2024-06-10,Michigan,South Teresa,33304,643 Frances Trace
USER_00000000077,6,2,1,2,Christian Bush,rebeccaturner@example.com,2025-04-13,North Carolina,West Rachael,41874,5865 Devon Causeway Apt. 622
USER_00000000078,7,3,1,1,Jesse Kelly,evelyncox@example.com,2021-08-01,Nebraska,North Robinborough,20984,976 Foster Points
USER_00000000079,2,1,9,1,Michael Lucero,lhess@example.com,2021-02-04,Arizona,Gonzalezmouth,17479,74709 Clark Glens Apt. 427
USER_00000000080,1,1,5,2,Betty Ruiz,jeanetteryan@example.org,2022-07-25,Texas,Henryside,34290,3110 Burch Drives Apt. 799
USER_00000000081,7,3,5,2,Charles Kelly,petersdavid@example.org,2025-02-22,Idaho,Andersonmouth,63443,5911 Sharon Islands Suite 748
USER_00000000082,4,2,11,1,Christopher Reed,christinawright@example.net,2020-09-12,North Dakota,Andersonton,95446,276 Kelsey Springs Apt. 799
USER_00000000083,9,2,1,3,Kaitlyn Meyer,karen17@example.net,2024-03-28,Connecticut,Port Aaronhaven,61044,331 Fisher Bridge
USER_00000000084,3,2,7,2,Cory Ford,danielford@example.com,2023-10-17,Delaware,West Emilyborough,28932,2728 Decker Junctions
USER_00000000085,9,2,9,1,Shaun Rogers,ecardenas@example.net,2024-11-29,Utah,Port Thomas,72287,3852 Hill Ports
USER_00000000086,3,3,9,1,Maria Flores,gloverdavid@example.com,2020-12-20,Louisiana,East Cathyborough,34539,332 Jones Glens Suite 605
USER_00000000087,3,3,10,1,Rebecca Taylor,kathystrong@example.com,2021-09-20,Minnesota,West Candice,66866,766 Bailey Cliff
USER_00000000088,6,2,10,3,Kathleen Wilson,ttaylor@example.com,2023-12-07,Virginia,Lewishaven,66654,56465 Olsen Ranch Suite 522
USER_00000000089,1,1,1,3,Andres Woods,graypatty@example.net,2023-12-15,Georgia,Wolffurt,27160,14197 Kaitlin Curve
