director_id,name,is_up_to_date
1,Darren Gibson,0
2,Charles Davies,0
3,Ann Miller,0
4,Cameron Jensen,0
5,John Knapp MD,0
6,Tonya Thomas,0
7,Crystal Conner,0
8,Mrs. Kimberly Huynh,0
9,Justin Hardin,0
10,Vanessa Francis,0
11,Andrew Parks,0
12,Jessica Lozano,0
13,Raymond Walsh,0
14,Luis Fuentes,0
15,Ryan Fisher,0
16,Philip Patel,0
17,Zachary Terry,0
18,Nancy Lucero,0
19,Miguel Flores,0
20,Mary Jenkins,0
21,James Brown,0
22,Shelby Frye,0
23,Jenny Smith,0
24,Cheryl Holt,0
25,Heather Lee,0
26,Stephanie James,0
27,Joel Marshall,0
28,Lauren Holloway,0
29,Kimberly Washington,0
30,Maurice Roberts,0
31,Amy Mitchell,0
32,Donald Campbell,0
33,Jennifer Ayala,0
50,Patricia Chase,0
51,Brandon Potts,0
52,Michael Rivers,0
53,Brandon Ramos,0
54,Adam Moore,0
55,Sharon Miller,0
56,Gregory Barrera,0
57,Jennifer Burke,0
58,Anna Wilson,0
59,Jennifer Barry,0
60,Vicki Bonilla,0
61,Diana Webb,0
62,Kayla Gregory,0
63,Eric Bautista,0
64,Nicole Franco,0
65,Allison Schmitt,0
66,Aaron Taylor,0
67,Jeremy Kane,0
68,William Martin,0
69,Stacey Taylor,0
70,Scott Lynch,0
71,Joshua Floyd,0
72,Megan Phillips PhD,0
73,Jill Doyle,0
74,Candace King,0
75,Ernest Thompson,0
76,Joseph Small,0
77,Walter Adams,0
78,Andrea Kramer,0
79,Donald Melton,0
80,Tanya Sanchez,0
81,Amber Hale,0
82,Donald Klein,0
83,James Houston,0
84,Darryl Powell,0
85,Stephanie Jackson,0
86,Justin Kaufman,0
87,David Sutton,0
88,Michael Clark Jr.,0
89,Michael Tucker,0
90,George Moreno,0
91,Christina Martinez,0
92,Joshua Guerrero,0
93,Jaime Stanton,0
94,Christopher Miller,0
95,Katie Brown,0
96,Jennifer Hill,0
97,George Clark,0
98,Scott Jones,0
99,Ryan Clay,0
100,Michael Newman,0
34,Shelley Martin,0
35,Dr. Bradley Cook DVM,0
36,Thomas Byrd,0
37,Maureen Johnson,0
38,Krista Perez,0
39,Stephanie Montgomery,0
40,Danielle Horne,0
41,Rachel Anderson,0
42,Eric Martin,0
43,James Nelson,0
44,Richard Rubio,0
45,Steven Roth,0
46,Kevin Wallace,0
47,Andrew Williams,0
48,Paul Lopez,0
49,John Murphy,0
