user_code,age_group_id,gender_id,country_id,subscription_status_id,name,email,signup_date,district,city,postal_code,street_address,is_up_to_date
USER_00000000101,2,1,3,1,Maria Abreu,maria.abreu@example.com,2024-05-01,Lisboa,Lisboa,1000-001,"Rua das Flores, 25",0
USER_00000000001,3,2,5,2,Updated Name B,updatedb@example.com,2024-06-02,Porto,Porto,4000-123,"Av. da Liberdade, 105",0
USER_00000000002,5,3,3,2,Joseph Ford,nichole22@example.net,2022-08-14,North Dakota,South Ronaldmouth,75124,11456 Young Streets Apt. 455,1
USER_00000000003,7,2,2,2,Mariah Gutierrez,carolinenorris@example.net,2025-04-27,Georgia,Perezview,27236,2993 Schmidt Passage,1
USER_00000000004,1,1,8,1,Joseph Bennett,cwilliams@example.com,2022-07-06,Nevada,Port Alex,21080,59542 Dixon Tunnel,1
USER_00000000005,5,1,5,3,Cheyenne Smith,cruzsherry@example.org,2022-02-01,Delaware,West Brandonbury,68808,5629 Cox Streets,1
USER_00000000006,5,2,6,1,Kristopher Crane,xstark@example.com,2022-06-04,Alaska,North Zacharyshire,50933,669 Gutierrez Trail,1
USER_00000000007,5,3,4,3,Lynn Smith,amberstephenson@example.com,2024-02-10,Pennsylvania,Lake Jason,25577,60636 Jennifer Stream Suite 162,1
USER_00000000008,2,2,7,1,Scott Thompson,cyu@example.org,2025-01-03,Pennsylvania,West Robertshire,29132,0869 Kerr Mountain,1
USER_00000000009,6,3,2,3,Tim Lucero,andersondaniel@example.net,2021-06-03,New Mexico,South Alfredtown,93617,09132 Cindy Lights,1
USER_00000000010,2,3,10,3,Dr. Gregory Frazier,micheal92@example.com,2021-03-13,Missouri,Ortizchester,91581,339 Erin Rapid,1
USER_00000000011,7,3,2,3,James Hawkins,zvaughn@example.com,2025-03-24,North Carolina,Toddfort,08791,3510 Davis Mill,1
USER_00000000012,7,2,7,1,Melanie Reynolds,christina30@example.com,2022-08-22,Michigan,Brucechester,10887,21347 Clark Flats Apt. 208,1
USER_00000000013,3,2,2,3,Kathy Christian,changwendy@example.net,2024-09-16,Tennessee,Anthonyfurt,19911,0364 Thomas Inlet,1
USER_00000000014,1,2,8,2,Adam Ramirez,morganpatrick@example.net,2024-08-30,Nebraska,Eddiehaven,88537,494 Johnson Pines Suite 684,1
USER_00000000015,4,3,5,2,Nicole Garcia,fosteramanda@example.net,2023-11-05,Colorado,Port Emilyborough,92327,270 Amber Flat,1
USER_00000000016,2,2,4,1,Mary Velez,josephstein@example.net,2024-11-10,Kentucky,South Margaretborough,01090,88127 Hill Locks,1
USER_00000000017,4,1,11,1,Ashley Randolph,lewisjoseph@example.com,2021-01-17,Montana,Gonzalezfort,75922,342 Garrett Branch,1
USER_00000000018,8,2,7,1,Shane Myers,julia78@example.com,2022-12-13,Rhode Island,South Benjaminton,73941,1513 Sanchez Cliff Apt. 237,1
USER_00000000019,1,1,9,1,Vanessa Smith,carolyn23@example.net,2022-03-25,Montana,East Margaret,42405,9208 Sharon Isle,1
USER_00000000020,9,2,3,3,Daniel Yates,lthompson@example.org,2024-04-21,New Jersey,North Keith,23941,233 Nicole Spring,1
USER_00000000021,6,2,4,1,Emily Chavez,clarksharon@example.com,2022-10-29,Montana,South Jessica,26159,548 Singh Estate Apt. 722,1
USER_00000000022,9,1,5,2,Cynthia Charles,steven67@example.net,2024-01-05,Hawaii,Nathanielland,89306,37081 Frazier Extensions,1
USER_00000000023,4,2,5,2,Nancy Valdez,aaron51@example.com,2022-02-27,Minnesota,North Jonathan,59474,5833 Samantha Throughway,1
USER_00000000024,3,3,10,3,Jared Lyons DVM,pollardjessica@example.org,2025-04-19,Rhode Island,North Timothy,25341,9836 Cunningham Viaduct Apt. 784,1
USER_00000000025,6,1,9,1,Elizabeth Acosta,lsimmons@example.org,2020-05-26,Arkansas,North David,82602,110 Diane Divide Suite 884,1
